,plot-name
pHILICpos_133_(2-oxo-2_3-dihydro-1H-indol-3-yl)acetic acid,(2-oxo-2_3-dihydro-1H-indol-3-yl)acetate
pHILICpos_135_1 Methyladenosine,1-Methyladenosine
pHILICpos_140_20 Dihydrocortisol,Dihydrocortisol
pHILICpos_141_3 5 9 3 6 19 Trihydroxyurs 12 en 28 oic acid,"3,5 9,3,6,19-Trihydroxyurs 12 en 28 oate"
pHILICpos_143_3 Hydroxypyridine,3-Hydroxypyridine
pHILICpos_144_4 Acetamidobutanoic acid,Acetamidobutanoate
pHILICpos_146_5 Nitro o toluidine,Nitro-o-toluidine
pHILICpos_147_6 Methyl 1 2 4 triazolo 4 3 b pyridazin 8 ol,"6-Methyl-[1,2,4]triazolo[4,3-b]pyridazin-8-ol"
pHILICpos_149_6 Methylbenzoxazole,6-Mehtylbenzoxazole
pHILICpos_152_Acetyl L carnitine,Acetyl-L-carnitine
pHILICpos_155_Allopurinol,Allopurinol
pHILICpos_158_Azithromycin,Azithromycin
pHILICpos_161_Bis 2 ethylhexyl phthalate,Bis-2-ethylhexyl phthalate
pHILICpos_163_Caprolactam,Caprolactam
pHILICpos_167_Creatinine,Creatinine
pHILICpos_170_Cytarabine,Crytarabine
pHILICpos_171_Cytosine,Cytosine
pHILICpos_172_D   Proline,Proline
pHILICpos_174_Decanoylcarnitine,Decanoylcarnitine
pHILICpos_175_Diethyleneglycol diacetate,Dieithyleneglycol diacetate
pHILICpos_176_Dimethyl cyclohexane 1 4 dicarboxylate,"Dimethyl cyclohexane 1,4-diacarboxylate"
pHILICpos_177_Dimetridazole,Dimetridazole
pHILICpos_178_DL 3 Aminoisobutyric acid,3-Aminoisobutyrate
pHILICpos_183_DL Tryptophan,Tryptophan
pHILICpos_186_Eleostearic acid,Eleostearate
pHILICpos_188_GLUTARYLCARNITINE,Glutarylcarnitine
pHILICpos_191_Guanidineacetic acid,Guanidineacetate
pHILICpos_192_Hexanoylcarnitine,Hexanoylcanitine
pHILICpos_196_Kynurenic acid,Kynurenate
pHILICpos_197_Kynurenine,Kynurenine
pHILICpos_203_L Glutamic acid,Gluatamic aicd
pHILICpos_206_L Serine,Serine
pHILICpos_209_LAUROYLCARNITINE,Lauroylcarnitine
pHILICpos_210_lenticin,Lenticin
pHILICpos_212_Linezolid,Linezolid
pHILICpos_214_Methacrylamide,Methracrylamide
pHILICpos_216_N Phenylacetylglutamine,Phenylacetylglutamine
pHILICpos_217_N_N-DIMETHYLARGININE,Dimethylarginine
pHILICpos_220_N2_N2-Dimethylguanosine,Dimethylguanosine
pHILICpos_221_N4 Acetylcytidine,Acetylcyidine
pHILICpos_222_Nicotinamide,Nicotinamide
pHILICpos_223_Nicotinyl alcohol,Nicotinyl alcohol
pHILICpos_226_Octanoyl-L-Carnitine,Octanoyl-L-Carnitine
pHILICpos_229_Pipecolic acid,Pipecolate
pHILICpos_230_Piperidine,Piperidine
pHILICpos_231_Piperine,Piperine
pHILICpos_234_Prolylleucine,Prolyleucine
pHILICpos_238_Skatole,Skatole
