Compound Name,Compound Class,Chromatography - ion mode,Compound Name Leg,Formula,Mass,RT,CAS ID,blank-1,blank-2,blank-3,P H-433,P H-457,P H-458,P H-459,P H-460,P H-461,P H-462,P H-463,P H-464,P H-466,P H-467,P H-468,P H-469 -1,P H-469 -2 ,P H-470,P H-471,P H-472,P H-473,P H-474,P H-475,P H-476,P H-477,P H-478,P H-479,P H-480,P H-481,P H-482,P H-483,P H-484,P H-485,P H-486,P H-487,P H-488,P H-489,P H-490,P H-491,P H-492,P H-495,P H-496,P H-497,P H-498,P H-499,P H-501,P H-502,P H-504,P H-505,P H-506,P H-507,P H-509,P H-510,P H-511,P H-512,P H-513,P H-514,P H-515,P H-516,QC-P pool-1,QC-P pool-2,QC-P pool-3,QC-P pool-4,QC-P pool-5,QC-P pool-6
1_(Z)-3-Hydroxyoctadec-7-enoic acid,covid_id_updated,pHILICneg,pHILICneg_1_(Z)-3-Hydroxyoctadec-7-enoic acid,C18H34O3,298.250795,0.82,,5227,17457,23242,424215,197160,263001,200443,483763,564359,589333,160984,323276,320706,235718,399006,1209218,173359,404170,114371,378877,502311,350886,377721,397609,462486,533351,538823,345645,389980,460010,210299,313590,195437,503655,253439,111714,230620,332947,412694,215060,345466,254348,659881,317238,570994,242577,177116,207803,175061,183448,298988,197224,270784,279751,351246,772207,122564,282412,579306,410157,375957,380534,342191,354302,389796
2_1 5 Anhydro D glucitol,covid_id_updated,pHILICneg,pHILICneg_2_1 5 Anhydro D glucitol,C6H12O5,164.068474,4.56,,2434,1891,2030,93633,98987,110350,221907,140800,194116,223707,149724,203695,148103,129609,176078,158166,140236,225794,109871,150647,141569,280817,160718,292152,178571,268097,101688,51269,169926,160104,119447,98825,116075,130613,99142,232754,223462,157387,186819,160970,148504,122324,216120,101869,164113,161744,133158,103253,159492,106522,134055,228414,89496,209628,151215,232718,105401,132976,126072,194553,178096,166137,148775,161153,129277
5_14 Z Eicosenoic acid,covid_id_updated,pHILICneg,pHILICneg_5_14 Z Eicosenoic acid,C20H38O2,310.287181,0.77,,2745,3279,3708,277180,385941,275293,350430,570039,428289,980518,439163,701246,508661,418330,550205,1170735,441866,403790,277560,688132,522471,817577,677541,725111,793791,726982,476187,853072,440165,459135,466680,385301,382855,963444,247305,405837,452131,475247,552484,547814,488287,571555,904027,502422,841518,493657,580422,436790,795921,585623,470729,675780,367582,273878,648353,595896,232450,609587,1116064,610018,571881,561207,571224,556859,570672
6_16 Hydroxyhexadecanoic acid,covid_id_updated,pHILICneg,pHILICneg_6_16 Hydroxyhexadecanoic acid,C16H32O3,272.235145,0.84,,15266,4962,20167,178631,193104,211292,213294,293169,301271,431292,163422,218072,298960,159015,284909,405891,202465,166797,168489,262648,213798,300329,245826,300299,457967,251846,429275,356521,183715,262905,171588,239195,204610,358830,289796,195442,233246,182049,300249,278867,228475,160103,383624,253404,310135,123290,193912,206067,217405,291877,211179,257379,218407,226029,232646,237691,134103,241330,272484,357661,299087,247931,232537,223569,228274
8_2 Aminoadipic acid,covid_id_updated,pHILICneg,pHILICneg_8_2 Aminoadipic acid,C6H11NO4,161.068808,6.62,,724,1097,825,1175,1675,1181,658,507,1359,2952,905,414,1324,752,2198,3371,977,585,280,1299,379,3432,675,635,1856,2942,813,3416,1747,724,1205,881,113,2629,377,314,1095,1319,710,715,771,1011,1528,1184,1904,1258,3758,137,3846,2517,1086,3191,738,389,3901,1272,1010,1698,3114,1272,275,2137,709,776,702
10_2 Hydroxycaproic acid,covid_id_updated,pHILICneg,pHILICneg_10_2 Hydroxycaproic acid,C6H12O3,132.078644,1.12,,14475,10096,12412,63488,174374,55211,91602,88070,113550,169257,77869,57777,196124,52698,136330,112452,47107,116084,69189,115352,50938,94045,96623,157390,169317,103247,83598,232596,141881,85413,96327,56429,64209,209804,61321,46612,123700,100108,123742,64635,44149,78877,94097,85327,82895,96567,135875,63167,102380,75077,74099,37317,104379,106052,97948,80988,33904,136463,101068,100810,102256,114036,105877,100332,105861
11_2 Hydroxyhippuric acid,covid_id_updated,pHILICneg,pHILICneg_11_2 Hydroxyhippuric acid,C9H9NO4,195.053158,1.2,,3362,2287,2757,5404,7678,8566,11304,9002,11136,11760,13218,6447,26435,6030,12418,20928,8644,8603,14523,11289,7430,9701,10091,25881,8864,15558,14245,10647,17672,6522,11389,13159,15198,9637,7153,8118,16788,15085,13714,21260,10694,11203,7004,7592,6256,11263,23176,15387,22899,15944,7283,18543,25423,16820,12660,24221,9097,8028,20787,14894,14494,14150,14338,12349,13378
16_3 4 Hydroxyphenyl propionic acid,covid_id_updated,pHILICneg,pHILICneg_16_3 4 Hydroxyphenyl propionic acid,C9H10O3,166.062994,1.06,,3184,6359,8561,98852,115090,62910,143925,109266,134888,178504,113781,131552,47420,113009,142345,249000,39894,93989,141674,153391,81037,182497,84774,223186,91877,202734,99367,205535,162622,86578,132099,80537,120098,177847,94341,122917,163437,105547,142241,148838,124002,105399,289695,91813,134573,149857,195006,119514,174095,159569,133306,111446,78548,154884,115540,229265,101391,161061,170514,145694,129861,141918,125944,160889,135271
17_3 Hydroxybutyric acid,covid_id_updated,pHILICneg,pHILICneg_17_3 Hydroxybutyric acid,C4H8O3,104.047344,1.87,,24418,28440,18482,138869,222372,189427,238279,369474,224093,333453,381242,177184,351283,146558,343038,421592,153441,264151,281876,180570,161028,285185,229513,358010,342414,442380,182383,295073,276389,200464,233834,185826,189500,326160,1086269,193213,414757,307022,261652,307832,165653,214522,294582,240623,233134,184121,579467,285392,419983,280460,176751,216693,203114,240831,304412,320675,138992,222885,293604,311140,300571,281332,291540,265006,293238
18_3 Indoxyl sulphate,covid_id_updated,pHILICneg,pHILICneg_18_3 Indoxyl sulphate,C8H7NO4S,213.009578,1.84,,315,395,462,252095,234266,1154057,406988,565778,455921,714004,362154,440575,176091,648201,800300,1043742,330665,366866,598259,249620,1200090,570970,812406,818772,302469,395847,849747,386220,678798,796605,341161,809948,475923,592964,207450,541158,530744,567701,600725,173191,439318,366142,859929,506652,714878,295525,521049,493591,63422,194773,838004,365313,439783,670943,813651,331388,253897,443114,694084,557457,531375,521304,555571,548544,559055
20_3-HYDROXYBUTANOIC ACID,covid_id_updated,pHILICneg,pHILICneg_20_3-HYDROXYBUTANOIC ACID,C4H8O3,104.047344,2.45,,7804,19704,16148,1267614,1100688,5630571,2551366,2501208,1140709,1340050,1871833,1102420,1478313,1414105,2294103,4032306,1742465,3170213,2470164,1632233,2330381,3114653,2735065,2494287,2338203,1510799,1325305,1262094,2471597,3011322,2164902,2136451,2342522,1566586,13169129,1270692,3673407,3277596,943004,3739595,2416799,1319966,2749739,3967241,3454842,1289115,3961389,2464814,2915751,4059143,1615002,2315468,2411409,2512226,2877123,3359794,1045353,928867,2411693,2657635,2572325,2498324,2674056,2690390,2749425
22_3-Indoleacetic acid,covid_id_updated,pHILICneg,pHILICneg_22_3-Indoleacetic acid,C10H9NO2,175.063329,1.82,,1363,2253,1588,2160,2038,815,1164,1811,2619,662,1476,950,2584,2088,1021,993,2818,1685,346,2241,1328,1422,3105,2247,603,1800,2491,1022,2353,1972,2824,960,1491,1343,2028,1822,1655,2792,742,2861,1057,2218,2741,2510,2598,2809,2928,3064,2469,2723,1458,2203,2121,5447,2288,2731,1287,1554,2426,1805,2552,2793,3012,1884,4237
26_4-methyl-2-oxopentanoic acid,covid_id_updated,pHILICneg,pHILICneg_26_4-methyl-2-oxopentanoic acid,C6H10O3,130.062994,1.04,,25117,8170,19363,295462,541391,529987,1272219,843282,826880,669166,1325515,507058,437876,525676,1517026,1369035,845884,385922,796473,1192662,672706,658323,796578,1119058,1110929,846039,890870,1485770,544717,547126,691797,606109,865225,822588,1177694,913213,1253277,1070802,476688,1075021,349539,524776,1109569,712389,865018,611530,1216566,541469,1433230,1710536,454899,1070303,605301,725893,887295,663647,559165,562180,1191182,1168133,936623,707126,780762,791501,735556
27_4-Pyridoxic acid,covid_id_updated,pHILICneg,pHILICneg_27_4-Pyridoxic acid,C8H9NO4,183.053158,0.99,,2068,2081,846,60446,25703,38649,46577,78804,37292,74408,103805,35999,66366,42104,42022,130193,27950,52333,40592,35387,34930,51442,62954,180435,74809,126505,29111,66203,92927,28281,44295,57520,65803,73728,26981,39606,90972,147909,73061,105275,28211,41791,84605,79075,55461,31820,194684,75964,144415,52489,41136,46729,61400,72791,51493,44668,29904,61828,49517,73428,62969,63019,70726,67409,74961
28_5-Hydroxy-3-indoleacetic acid,covid_id_updated,pHILICneg,pHILICneg_28_5-Hydroxy-3-indoleacetic acid,C10H9NO3,191.058243,4.24,,1613,783,368,4225,2865,5270,4870,5250,2229,4691,12561,4796,6336,4996,11649,11681,8560,3538,13124,10066,3046,4055,6120,12199,4748,17361,4536,4631,3261,2861,5150,3871,7682,1790,9064,6490,9723,6849,4783,15616,5615,5420,2715,6758,3764,4212,13206,12696,9000,9968,5089,16497,7295,8451,6321,15513,3540,5234,15211,6848,7668,11427,4946,7311,6832
30_9 Z 11 E Conjugated linoleic acid,covid_id_updated,pHILICneg,pHILICneg_30_9 Z 11 E Conjugated linoleic acid,C18H32O2,280.24023,0.79,,2913,10734,3835,21286656,23902608,29754814,16624313,38880024,25690906,47073792,17665166,28673128,37485892,20006312,26467924,61538608,25037736,35487384,17617822,31416130,29059904,50228656,47764320,33157324,47082792,42908740,23377396,39563500,32108306,33892872,19883544,16519620,19413706,42497128,32119342,21465690,16508132,31832162,26194334,29555696,26865820,24731552,39311136,37096000,38890164,30783768,31966844,20590082,46668656,28280678,28512364,36894612,18784410,14033614,44454604,39739420,18109148,33586988,49749864,34379212,31715650,31042502,31731864,31137682,31541860
33_Adrenic acid,covid_id_updated,pHILICneg,pHILICneg_33_Adrenic acid,C22H36O2,332.271531,0.76,,6935,7315,6694,230403,239200,285308,165393,298203,250109,450692,137318,200094,378345,198168,230462,323728,294863,238214,227479,250509,200207,314486,370317,383557,442059,343498,147513,498318,251658,335739,218432,136967,186535,524370,326935,135335,205298,198310,244195,230694,206630,237604,393294,287568,299462,227714,258916,174187,382260,252515,327736,152016,164326,151797,319780,333291,152660,327144,370900,298022,289554,280256,267507,261594,265129
34_Alanine,covid_id_updated,pHILICneg,pHILICneg_34_Alanine,C3H7NO2,89.047679,6.28,,1792,944,326,58930,62012,84043,102476,67547,107131,104196,122847,75802,107960,76341,118363,121463,88802,89561,87547,91371,68709,104822,102034,155424,106406,124054,93024,154830,86867,72604,78226,74347,80747,108146,96091,94863,114467,87928,97623,107282,69881,79199,112114,82828,104632,71035,134046,96886,152817,84379,98033,98010,89140,102296,93024,100798,82302,88366,96079,100424,90730,99097,93875,106445,80212
35_Allantoin,covid_id_updated,pHILICneg,pHILICneg_35_Allantoin,C4H6N4O3,158.04399,5.5,,1062,510,1085,583358,210162,218956,338071,190684,192132,318932,185171,120690,173777,274445,223394,348688,156192,210527,251403,211550,183284,225908,215392,246014,215210,198416,205685,213670,271679,178157,159170,188659,355337,267023,192199,202829,239499,332683,257732,350669,275789,165904,290643,246239,184202,138451,384665,282021,603606,237494,383646,196840,191537,169738,192272,306309,132245,397973,259517,257938,240158,232860,252319,275334,250262
36_Allethrin,covid_id_updated,pHILICneg,pHILICneg_36_Allethrin,C19H26O3,302.188195,0.94,,107862,110132,123137,153802,169830,162497,152172,176134,150601,150423,152518,141466,252590,178835,152578,170484,184145,147150,157443,179232,159584,164535,166153,177103,191980,169285,178138,172828,153100,172039,178922,156090,158999,183808,154216,153717,204366,180548,150773,182655,154278,176563,150428,155391,178020,154535,200634,164197,228372,173071,169743,158133,205733,183019,159282,162274,153117,159107,174920,181024,178078,174637,177328,169766,172666
37_Arachidic acid,covid_id_updated,pHILICneg,pHILICneg_37_Arachidic acid,C20H40O2,312.302831,0.77,,10537,6642,11784,93415,142718,107721,146871,185618,199050,248330,148431,206618,227115,112628,205466,269012,139119,182902,107409,171776,182585,217458,239256,299310,260828,215337,231428,237532,199138,151519,162793,153454,134818,245677,112318,104705,133253,186822,188707,201155,180573,201319,242940,142330,214439,171642,164665,152063,187565,159655,139204,180185,133604,148402,209250,246481,95714,185908,232913,208312,198528,199919,179641,182819,178229
38_Arachidonic acid,covid_id_updated,pHILICneg,pHILICneg_38_Arachidonic acid,C20H32O2,304.24023,0.79,,10977,13915,13486,3080051,2389642,2514506,2420218,2221560,2906405,5038313,1642933,2260635,6310084,2035137,2627755,3239838,3342785,1883205,2301088,2245579,2217099,3956583,3254190,6811354,4830689,3015839,1817732,6692849,2477461,3331603,2177938,1987330,2837307,5503525,2965311,1451757,2092323,2516003,3026885,2679312,2489767,2712065,4711628,2571013,3738753,2221344,2721144,1979396,4455911,3126450,2851001,1797183,2166861,2184202,4019771,3077127,1394846,3357592,3274531,3182772,3018110,3034389,3045512,3047838,2967835
39_Benzoic acid,covid_id_updated,pHILICneg,pHILICneg_39_Benzoic acid,C7H6O2,122.036779,1.19,,12593,15725,14786,38735,21198,19962,26797,23324,27528,23722,17350,16763,22273,18902,18042,41506,27884,13428,27408,23266,22956,21776,29749,17298,24245,18990,24200,17829,26084,17918,20618,13196,94529,21632,17597,25782,22093,62261,27704,57832,25139,24978,26034,19929,22299,17269,41898,26961,60056,22503,22452,17921,29124,28140,21662,26369,18741,26379,20441,27036,16162,21986,32036,27468,21475
40_Caprylic acid,covid_id_updated,pHILICneg,pHILICneg_40_Caprylic acid,C8H16O2,144.11503,0.92,,59051,56910,59854,39887,54785,59272,57559,58080,55180,82875,49359,53057,66178,44593,105921,66414,50675,48087,67560,79083,48693,73843,61681,54624,56482,72425,1168229,74930,51128,51711,64125,71077,61442,58310,51900,44950,44462,42858,75638,67757,50791,40559,57127,45848,505841,50633,70757,66866,110677,59194,43459,87677,50170,67574,104580,86607,34520,42903,79758,105368,110351,96948,99176,110520,110206
42_cis 2 Decenoic acid,covid_id_updated,pHILICneg,pHILICneg_42_cis 2 Decenoic acid,C10H18O2,170.13068,0.91,,10251,8517,9455,20951,23459,40409,21032,41743,26767,30032,17389,24996,37100,19070,20399,29037,25780,26146,26522,23750,28675,24869,28405,27256,38315,30519,29280,28714,25574,26186,19878,24705,23763,33781,64257,20078,26924,25397,32658,33949,23580,29215,30057,33787,27817,28523,35596,24329,35138,31320,25253,25977,28303,21997,25335,29419,12473,28398,33157,35099,32030,28743,24385,33874,31136
44_Citric acid (Not validated_ isomer of 227),covid_id_updated,pHILICneg,pHILICneg_44_Citric acid (Not validated_ isomer of 227),C6H8O7,192.027003,8.99,,832211,618705,530311,1974758,2880825,3375754,2900137,3047656,3005403,2515922,3370445,2982459,1862434,2405151,2203047,2191169,2998898,3540773,3175572,3313095,2701277,2580569,3322296,2503813,2428169,2195647,3176297,2423016,3663572,3107973,3007158,3275533,2877121,2127828,2747000,2917275,3562132,3783149,3618199,2690342,3135617,2884797,1995426,3587242,1983624,2645534,2424055,3141248,2684451,2603094,3646850,1581630,3436405,3399395,2034445,1438268,2744752,3053988,2151439,2586812,2863367,2880962,2672118,2670031,2715671
45_Citrulline,covid_id_updated,pHILICneg,pHILICneg_45_Citrulline,C6H13N3O3,175.095691,7.03,,371,980,791,62034,53333,62874,69002,63638,95745,205356,76025,78005,87043,46209,243906,178248,56712,69517,67611,161923,46223,207945,80204,97864,186148,175584,129202,193406,108121,57145,79808,77019,65283,220406,37794,98405,134328,86135,78282,179959,44314,48694,186843,58117,184712,54565,175801,69916,160412,118599,104776,165341,64857,130188,218997,269979,42856,81492,222732,94894,98471,78290,81189,84232,86171
