,Model,Params,Baseline,Score,Training Score
0,Logistic Regression,"{'feat_selection': ('corr', 0.8888888888888888), 'C': 10, 'l1_ratio': 1.0}",none,0.4907759714138201,0.8305028065837592
1,ElasticNet,"{'feat_selection': ('corr', 0.8888888888888888), 'alpha': 100, 'l1_ratio': 0.0}",none,0.487376545790606,0.8998036557992501
2,PLSDA,"{'feat_selection': ('corr', 0.7777777777777777), 'n_components': 2}",none,0.47464430881603636,0.8149293390234387
3,SVM,"{'feat_selection': ('stat', 0.05, 1), 'C': 0.01, 'kernel': 'poly'}",none,0.324762896136942,0.6213277816331251
4,Random Forest,"{'feat_selection': ('stat', 0.1, 1), 'max_features': 'log2', 'max_depth': 20, 'n_estimators': 50}",none,0.2857737682165163,1.0
5,Logistic Regression,"{'feat_selection': ('corr', 0.4444444444444444), 'C': 0.001, 'l1_ratio': 0.0}",all,0.48271630004173727,0.9233383480439517
6,ElasticNet,"{'feat_selection': ('corr', 0.8888888888888888), 'alpha': 100, 'l1_ratio': 0.0}",all,0.487376545790606,0.8998036557992501
7,PLSDA,"{'feat_selection': ('corr', 0.7777777777777777), 'n_components': 2}",all,0.47464430881603636,0.8149293390234387
8,SVM,"{'feat_selection': ('corr', 0.7777777777777777), 'C': 1, 'kernel': 'sigmoid'}",all,0.32984789091659317,0.4760467268100856
9,Random Forest,"{'feat_selection': ('corr', 0.6666666666666666), 'max_features': None, 'max_depth': 1, 'n_estimators': 1}",all,0.23902052146326955,0.3335925722079973
