,var_imp,plot-name
HSSpos_Cer_NS d18:1_16:0_17.788,0.001117707,Cer-NS d18:1_16:0
HSSpos_Cer_NS d18:2_16:0_16.67,0.000904931,Cer-NS d18:2_16:0
HSSpos_LPC 0:0/16:0_4.715,-0.000701594,LPC 0:0/16:0
HSSpos_LPC 0:0/18:0_6.997,-0.00120553,LPC 0:0/18:0
HSSpos_LPC 14:0/0:0_3.387,-0.000405439,LPC 14:0/0:0
HSSpos_LPC 16:0/0:0_5.147,-0.000231738,LPC 16:0/0:0
HSSpos_LPC 16:1/0:0_3.734,0.000187387,LPC 16:1/0:0
HSSpos_LPC 17:0/0:0_6.28,-0.000471646,LPC 17:0/0:0
HSSpos_LPC 18:0/0:0_7.547,-0.000484026,LPC 18:0/0:0
HSSpos_LPC 18:1/0:0_5.589,-0.000179024,LPC 18:1/0:0
HSSpos_LPC 18:2/0:0_4.195,-0.000796669,LPC 18:2/0:0
HSSpos_LPC 20:2/0:0_6.105,-0.000892905,LPC 20:2/0:0
HSSpos_LPC 20:3/0:0_4.813,-9.53E-05,LPC 20:3/0:0
HSSpos_LPC 20:4/0:0_4.03,-0.000688863,LPC 20:4/0:0
HSSpos_PC 18:2_22:6_15.427,-0.000657036,PC 18:2_22:6
HSSpos_PC 20:4_20:4_15.512,-0.000820819,PC 20:4_20:4
HSSpos_PC 38:6_15.829,-0.000319243,PC 38:6
HSSpos_PE 16:0_18:2_16.83,0.001923166,PE 16:0_18:2
HSSpos_PE 16:0_20:4_16.641,0.000716298,PE 16:0_20:4
pHILICneg_87_L Serine,-0.0012867,Serine
pHILICpos_135_1 Methyladenosine,0.001321578,1-Methyladenosine
pHILICpos_196_Kynurenic acid,0.001348913,Kynurenate 
